date_from,Real GDP (%),Unemployment Rate (%),Payrolls (000s/month),FREQ,Headline CPI,Core CPI,Headline PCE,Core PCE
2023-01-01,1.3,3.7,257.5,A,3.4,4.1,3.4,3.7
2023-04-01,1.0,3.6,156.1,Q,3.5,4.5,3.2,3.8
2023-07-01,0.6,3.8,43.8,Q,3.2,3.6,3.2,3.3
2023-10-01,-0.0,4.0,25.6,Q,2.9,3.1,2.9,2.9
2024-01-01,1.0,4.3,56.1,A,2.5,2.7,2.4,2.3
2024-01-01,1.0,4.1,37.2,Q,2.7,3.0,2.5,2.5
2024-04-01,2.5,4.2,22.7,Q,2.4,2.7,2.4,2.4
2025-01-01,2.4,4.4,N.A.,A,2.3,2.3,2.1,2.0
2026-01-01,2.3,4.3,N.A.,A,,,,
