date_from,Real GDP (%),Unemployment Rate (%),Payrolls (000s/month),FREQ,Headline CPI,Core CPI,Headline PCE,Core PCE
2023-01-01,2.4,3.7,296.5,A,3.3,3.9,3.1,3.5
2023-10-01,1.3,3.9,148.8,Q,3.3,3.0,2.9,2.7
2024-01-01,1.7,4.1,120.0,A,2.5,2.6,2.4,2.4
2024-01-01,0.8,4.0,65.7,Q,2.8,2.8,2.5,2.7
2024-04-01,1.3,4.0,97.9,Q,2.6,2.6,2.5,2.4
2024-07-01,1.5,4.2,81.5,Q,2.5,2.5,2.3,2.3
2024-10-01,1.7,4.2,118.8,Q,2.4,2.4,2.3,2.2
2025-01-01,1.8,4.2,N.A.,A,2.3,2.3,2.1,2.1
2026-01-01,2.1,4.0,N.A.,A,,,,
